Código ID,Data ,Coordenada,Família,Gênero,Espécie,Nome popular,Classificação,Altura (m),Cap (cm),Dap (cm),Flor,Fruto,Tronco,Observação,Coletada
4/134,09/05/2025,,Fabaceae,Copaífera,Copaifera langsdorffii,Copaíba,nativa,,,,,,,,
/135,09/05/2025,,Bignoniaceae,Tabebuia,Tabebuia aurea,ipê amarelo,nativa,,,,,,,,
4/136,09/05/2025,,Bignoniaceae,Cybistax,Cybistax antisyphilitica,ipê verde,nativa,,,,,,,,
4/137,09/05/2025,,Malvaceae,Sterculia,Sterculia striata,Rabo de bugio,nativa,,,,,,,,
4/138,09/05/2025,,Polygonaceae,Triplaris,Triplaris Gardneriana,pau de novato,nativa,,,,,,,,
4/139,09/05/2025,,Fabaceae,Albizia,Albizia niopoides,Sibipiruna,nativa,,,,,,,,
4/140,16/05/2025,,Malvaceae,Ceiba ,Ceiba speciosa (A.St.-Hil.) Ravenna,Paineira,nativa,11,90,,,,,,
4/141,16/05/2025,,Malvaceae,Ceiba ,Ceiba speciosa (A.St.-Hil.) Ravenna,Paineira,nativa,14,113,,,,,,
4/142,16/05/2025,,Malvaceae,Ceiba ,Ceiba speciosa (A.St.-Hil.) Ravenna,Paineira,nativa,13,151,,,,,,
4/143,16/05/2025,,Fabaceae ,Libidibia ,Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz,Pau ferro,nativa,15,97,,,,,,
4/144,16/05/2025,,,,,angico vermelho(?),,19,182,,,,,,
4/145,16/05/2025,,,,,angico vermelho(?),,17,144,,,,,,
4/146,16/05/2025,,Rubiaceae,Genipa,Genipa americana,genipapo,nativa,11,55,,,,,,
4/147,16/05/2025,,Rubiaceae,Genipa,Genipa americana,genipapo,nativa,12,77,,,,,,
4/148,16/05/2025,,,,,angico vermelho(?),,22,148,,,,,,
4/149,16/05/2025,,Rubiaceae,Genipa,Genipa americana,genipapo,nativa,,49,,,,,,
4/150,16/05/2025,,,,,angico vermelho(?),,23,226,,,,,,
4/151,16/05/2025,,Bignoniaceae,Tabebuia,Tabebuia aurea,ipê amarelo,nativa,11,81,,,,,,
4/152,16/05/2025,,Fabaceae,Machaerium,Machaerium aculeatum Raddi,Jacarandá bico de pato,nativa,9,63,,,,,,
4/153,16/05/2025,,Fabaceae,Albizia,Albizia niopoides,Sibipiruna,nativa,23,142,,,,,,
4/154,16/05/2025,,Fabaceae,Albizia,Albizia niopoides,Sibipiruna,nativa,22,162,,,,,,
4/155,16/05/2025,,Fabaceae,Albizia,Albizia niopoides,Sibipiruna,nativa,22,212,,,,,,
